stim_id,twister,exp_cond,cb_cond,vowel,exp_idx
2,mang hak naf gass,coda,AE->F; IH->S,AE,1
4,sang hag kan maf,coda,AE->F; IH->S,AE,1
9,kaf mag hang nass,coda,AE->F; IH->S,AE,1
29,hang van zak gam,coda,AE->F; IH->S,AE,2
32,vak haz gang nam,coda,AE->F; IH->S,AE,2
49,van mak hang gaz,coda,AE->F; IH->S,AE,2
63,nak vang zag ham,coda,AE->F; IH->S,AE,2
6,hiss ghif min king,coda,AE->F; IH->S,IH,1
22,hiss king nim ghif,coda,AE->F; IH->S,IH,1
26,min hik fing ghiss,coda,AE->F; IH->S,IH,1
30,ghim hik niss fing,coda,AE->F; IH->S,IH,1
36,gam sang kaf han,coda,AE->F; IH->S,AE,1
3,ghik zim hiv ning,coda,AE->F; IH->S,IH,2
12,zing hik vig min,coda,AE->F; IH->S,IH,2
25,kig ziv ning him,coda,AE->F; IH->S,IH,2
28,niv him zing ghik,coda,AE->F; IH->S,IH,2
11,maf gang kass han,coda,AE->S; IH->F,AE,1
15,mak hang naf gass,coda,AE->S; IH->F,AE,1
48,fass nak hang mag,coda,AE->S; IH->F,AE,1
56,gang haf nass mak,coda,AE->S; IH->F,AE,1
21,kav zag mang han,coda,AE->S; IH->F,AE,2
24,mag nang zav hak,coda,AE->S; IH->F,AE,2
37,nang hag mak zav,coda,AE->S; IH->F,AE,2
40,kan hav mang zag,coda,AE->S; IH->F,AE,2
108,ming hin sik ghif,coda,AE->S; IH->F,IH,1
118,mif nik sing hig,coda,AE->S; IH->F,IH,1
122,ghin mif kiss hing,coda,AE->S; IH->F,IH,1
163,hin ghiss king mif,coda,AE->S; IH->F,IH,1
14,hik ghin zim ving,coda,AE->S; IH->F,IH,2
98,hiz ghing vik min,coda,AE->S; IH->F,IH,2
138,zing vig him kin,coda,AE->S; IH->F,IH,2
179,him vik ning zig,coda,AE->S; IH->F,IH,2
7,fak hang sam gan,onset,AE->F; IH->S,AE,1
39,fang kag nass ham,onset,AE->F; IH->S,AE,1
50,mass nang hag fak,onset,AE->F; IH->S,AE,1
57,kam fang nass hag,onset,AE->F; IH->S,AE,1
20,vaz gang ham kan,onset,AE->F; IH->S,AE,2
44,nang vaz kam hag,onset,AE->F; IH->S,AE,2
45,gam hang zak van,onset,AE->F; IH->S,AE,2
51,vam kag hang zan,onset,AE->F; IH->S,AE,2
8,fin sik hig ming,onset,AE->F; IH->S,IH,1
23,fin him ghing sik,onset,AE->F; IH->S,IH,1
27,hif sim ning kig,onset,AE->F; IH->S,IH,1
33,ning fim sik hig,onset,AE->F; IH->S,IH,1
17,hiv ning zim ghik,onset,AE->F; IH->S,IH,2
19,vin zing hig mik,onset,AE->F; IH->S,IH,2
61,zik vim ghing hin,onset,AE->F; IH->S,IH,2
62,hig ziv ning kim,onset,AE->F; IH->S,IH,2
1,fang ham nag sak,onset,AE->S; IH->F,AE,1
82,hag maf kang san,onset,AE->S; IH->F,AE,1
83,sang mak naf hag,onset,AE->S; IH->F,AE,1
102,fak hag mang san,onset,AE->S; IH->F,AE,1
5,zang hak gav nam,onset,AE->S; IH->F,AE,2
16,kang nav hag zam,onset,AE->S; IH->F,AE,2
18,vang zak ham gan,onset,AE->S; IH->F,AE,2
31,hang zav kan mag,onset,AE->S; IH->F,AE,2
10,fing hin sig kim,onset,AE->S; IH->F,IH,1
41,hin king ghim fiss,onset,AE->S; IH->F,IH,1
42,ghin fiss mik hing,onset,AE->S; IH->F,IH,1
69,niss mik fig hing,onset,AE->S; IH->F,IH,1
13,zin ghik ving him,onset,AE->S; IH->F,IH,2
46,kiz vim hing ghin,onset,AE->S; IH->F,IH,2
54,hing kiz vig nim,onset,AE->S; IH->F,IH,2
60,ghik vin hing miz,onset,AE->S; IH->F,IH,2
